"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Verplaatsing op woensdag";"Zakelijk, beroepsmatig";"31,09";"28,26";"29,15";"25,17";"34,57";"30,74";"36,43";"29,51";"27,02";"26,74";".";".";"38,79";"34,86";"39,86";"33,24";"42,30";"39,57";"41,44";"37,37";"33,80";"31,79";".";"."
"Verplaatsing op woensdag";"Winkelen, boodschappen doen";"4,99";"4,62";"4,51";"3,18";"4,06";"4,13";"5,37";"4,59";"5,76";"6,52";"8,06";"6,79";"14,35";"14,12";"15,47";"14,80";"13,27";"13,05";"13,45";"13,69";"13,94";"14,98";"19,24";"14,52"
"Verplaatsing op woensdag";"Visite, logeren";"17,86";"15,44";"24,12";"14,97";"16,68";"15,32";"18,49";"17,85";"13,48";"14,19";".";"15,52";"27,27";"24,40";"37,23";"28,07";"26,32";"25,09";"27,06";"25,10";"21,43";"19,93";"25,69";"22,01"
"Verplaatsing op woensdag";"Uitgaan, sport, hobby";"9,83";"10,81";"8,35";"10,48";"10,51";"10,72";"10,29";"11,99";"10,69";"10,42";"9,15";"10,68";"25,21";"27,48";"27,01";"32,73";"25,18";"26,37";"30,71";"25,01";"21,33";"25,66";"19,29";"21,71"
"Verplaatsing op woensdag";"Toeren, wandelen";"8,10";"6,25";"6,40";"6,01";"8,64";"6,79";"9,35";"6,25";"7,29";"5,65";"9,47";"6,97";"61,39";"54,45";"65,21";"58,06";"64,99";"58,49";"59,07";"53,06";"53,74";"48,82";"65,90";"52,17"
"Verplaatsing op donderdag";"Totaal";"12,96";"11,55";"11,47";"10,41";"13,38";"11,66";"12,67";"11,14";"13,37";"12,52";"15,49";"13,18";"26,27";"26,59";"26,71";"29,12";"26,86";"26,32";"25,59";"25,07";"25,33";"25,78";"26,65";"25,03"
"Verplaatsing op donderdag";"Van en naar het werk";"20,33";"19,35";"17,75";"18,45";"21,64";"19,01";"20,05";"19,42";"20,72";"20,34";"22,81";"20,70";"30,57";"30,41";"32,90";"34,05";"31,69";"30,68";"30,07";"29,29";"27,58";"28,03";"28,22";"26,53"
"Verplaatsing op donderdag";"Zakelijk, beroepsmatig";"31,65";"28,32";"27,21";"21,97";"35,45";"30,11";"38,46";"33,26";"25,68";"27,70";".";".";"38,49";"36,94";"39,59";"35,94";"40,81";"39,72";"40,85";"40,14";"33,86";"31,88";".";"."
"Verplaatsing op donderdag";"Winkelen, boodschappen doen";"5,34";"4,92";"3,65";"3,34";"5,02";"4,78";"5,08";"5,54";"7,12";"6,27";"7,63";"6,05";"14,89";"14,19";"15,16";"14,10";"14,59";"14,36";"13,76";"14,62";"15,44";"13,96";"16,34";"13,37"
"Verplaatsing op donderdag";"Visite, logeren";"16,76";"16,67";"20,61";"20,04";"15,27";"18,91";"15,65";"13,13";"16,03";"13,99";".";"14,90";"26,10";"28,23";"32,84";"39,59";"26,50";"28,88";"21,75";"24,61";"22,76";"21,92";".";"21,68"
