"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"Verplaatsing op maandag";"Van en naar het werk";"19,86";"16,39";"16,62";"18,17";"19,34";"15,85";"14,34";"18,13";"18,18";"14,07";"14,78";"16,72";"19,74";"17,19";"16,19";"18,76";"21,02";"14,86";"18,23";"17,63";"20,71";"18,00";"17,31";"18,95";"20,57";"18,16";"17,73";"19,20";"30,55";"26,36";"25,76";"28,52";"33,87";"29,22";"26,35";"30,80";"32,37";"29,36";"29,16";"32,85";"30,98";"27,31";"25,31";"28,70";"30,82";"23,31";"25,49";"27,58";"29,22";"24,83";"24,15";"25,71";"26,50";"25,65";"23,84";"25,56"
"Verplaatsing op maandag";"Zakelijk, beroepsmatig";"30,77";"25,34";"20,88";"23,20";"31,98";"16,54";"19,10";".";"30,93";"18,58";"17,62";"21,81";"30,06";"23,39";"19,07";"26,41";"31,03";"30,88";"20,12";"18,50";"31,89";"23,35";"21,02";"23,10";".";".";".";".";"35,86";"30,78";"32,37";"30,28";"40,25";"27,24";"29,53";".";"39,15";"29,94";"30,44";"33,86";"35,34";"30,40";"29,12";"32,16";"33,41";"31,57";"25,18";"23,99";"35,94";"28,45";".";"29,41";".";".";".";"."
"Verplaatsing op maandag";"Winkelen, boodschappen doen";"4,71";"3,77";"3,83";"3,98";"3,54";"2,91";"3,07";"3,45";"3,22";"3,27";"2,73";"3,06";"3,92";"3,14";"4,09";"3,93";".";"3,71";"3,40";"4,57";"5,17";"5,02";"4,86";"4,59";"7,48";"5,49";"5,56";"5,43";"13,70";"12,21";"12,85";"13,08";"12,80";"12,21";"12,19";"14,51";"13,73";"12,93";"12,76";"14,06";"13,19";"11,10";"12,55";"12,67";"14,74";"12,54";"10,84";"12,76";"13,01";"12,63";"15,29";"12,35";"15,30";"12,36";"12,44";"13,66"
"Verplaatsing op maandag";"Onderwijs volgen, cursus, kinderopvang";"8,86";"7,05";"8,26";"8,97";"8,41";"5,89";"6,92";"9,57";"7,18";"6,89";"6,31";"6,36";"9,85";"5,82";"6,49";"9,21";"8,13";"5,60";"7,80";"8,99";"9,11";"7,58";"12,91";"10,02";"11,48";"12,09";"10,72";"14,48";"22,27";"20,69";"22,58";"23,07";"23,83";"22,80";"21,95";"23,95";"22,27";"21,35";"21,50";"22,52";"22,24";"18,72";"20,46";"22,19";"21,06";"17,18";"19,74";"21,33";"21,92";"21,51";"27,49";"23,70";"26,37";"28,38";"27,90";"31,41"
"Verplaatsing op maandag";"Visite, logeren";"16,86";"14,89";"15,05";"15,85";"15,58";"15,54";"17,65";"16,99";"18,08";"16,14";"19,84";"18,34";"20,45";"15,08";"14,67";"15,56";"9,81";"15,97";"15,65";"17,01";"16,96";"13,19";"11,09";"11,77";".";".";"16,33";"19,88";"26,96";"24,90";"25,09";"24,47";"31,76";"27,86";"28,21";"27,57";"32,66";"29,05";"30,75";"30,31";"30,39";"22,78";"25,35";"24,37";"17,98";".";"23,00";"23,57";"24,64";"20,37";"22,64";"19,59";".";".";"22,20";"26,62"
"Verplaatsing op maandag";"Uitgaan, sport, hobby";"10,89";"8,20";"11,07";"10,00";"13,48";"9,52";"9,02";"10,21";"7,97";"7,67";"10,52";"9,30";"10,21";"8,99";"9,73";"9,53";"10,08";"6,84";"14,63";"8,21";"13,96";"8,19";"11,01";"10,01";".";"10,02";"10,07";".";"26,82";"29,21";"32,79";"26,46";"35,49";"35,15";"34,10";"30,67";"27,14";"32,07";"35,01";"30,92";"26,18";"31,05";"32,62";"23,01";"25,70";"23,91";"32,97";"24,99";"26,30";"28,80";"32,85";"25,99";".";"25,07";"24,92";"31,88"
"Verplaatsing op maandag";"Toeren, wandelen";"6,68";"6,91";"6,70";"5,93";"8,39";"6,45";"7,73";"5,15";"6,43";"5,85";"7,08";"6,08";"6,53";"7,42";"5,95";"6,03";"7,33";"6,76";"7,64";"5,41";"6,93";"7,69";"7,22";"5,95";"5,65";"5,79";"5,23";"6,07";"57,13";"55,45";"57,03";"53,08";"61,20";"56,72";"61,23";"58,18";"64,94";"58,19";"63,25";"60,01";"57,07";"53,62";"55,20";"50,54";"49,52";"53,44";"57,57";"50,78";"57,23";"57,83";"55,75";"50,75";"53,87";"54,17";"49,11";"53,16"
"Verplaatsing op dinsdag";"Totaal";"13,12";"9,92";"10,22";"10,55";"11,45";"10,14";"9,66";"9,58";"11,30";"8,96";"8,70";"8,62";"13,53";"9,85";"9,29";"10,61";"12,88";"9,37";"10,96";"10,61";"14,27";"11,17";"11,92";"12,10";"14,36";"10,67";"12,42";"12,14";"26,85";"24,47";"25,91";"25,79";"27,07";"26,24";"27,82";"27,16";"27,92";"26,12";"27,81";"26,52";"26,71";"24,81";"24,92";"25,74";"25,73";"23,84";"24,88";"25,27";"26,80";"23,50";"26,01";"25,55";"26,60";"22,36";"25,57";"25,35"
"Verplaatsing op dinsdag";"Van en naar het werk";"21,06";"18,11";"18,21";"18,46";"17,95";"17,82";"17,55";"16,41";"18,78";"16,51";"15,52";"15,34";"21,58";"18,70";"17,13";"18,62";"22,41";"16,74";"18,95";"20,44";"20,62";"18,72";"20,98";"20,73";"24,62";"20,92";"19,11";"16,64";"31,39";"26,68";"27,22";"29,26";"32,72";"29,66";"29,44";"28,42";"33,86";"29,46";"29,47";"29,74";"32,23";"27,48";"26,79";"31,04";"30,56";"24,58";"26,29";"29,28";"28,75";"25,21";"26,99";"28,07";"29,48";"25,65";"25,83";"24,09"
"Verplaatsing op dinsdag";"Zakelijk, beroepsmatig";"33,82";"29,54";"24,87";"24,77";"42,38";".";"21,41";"23,18";"26,72";"34,73";"21,54";"22,11";"36,29";"32,71";"22,93";"23,11";"25,39";"27,71";"21,80";"25,36";"42,47";"27,31";"29,09";".";".";".";".";".";"40,16";"37,21";"31,42";"32,84";"49,44";".";"28,40";"32,31";"41,30";"40,16";"32,18";"33,53";"40,55";"40,05";"30,18";"32,65";"33,53";"33,23";"27,77";"31,83";"44,46";"39,32";"32,18";"33,35";".";".";".";"."
