"Gebieden in Nederland 2022"
""
"";"Onderwerp"
"";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving";"Statistische gegevens|Omgevingsadressendichtheid"
"Regio's";"code";"omschrijving";"per km2"
"Schouwen-Duiveland";"5";"Nietstedelijk";"491"
"Simpelveld";"4";"Weinigstedelijk";"685"
"Sint-Michielsgestel";"4";"Weinigstedelijk";"647"
"Sittard-Geleen";"2";"Sterkstedelijk";"1511"
"Sliedrecht";"2";"Sterkstedelijk";"1637"
"Sluis";"5";"Nietstedelijk";"433"
"Smallingerland";"3";"Matigstedelijk";"1344"
"Soest";"3";"Matigstedelijk";"1471"
"Someren";"4";"Weinigstedelijk";"750"
"Son en Breugel";"4";"Weinigstedelijk";"715"
"Stadskanaal";"4";"Weinigstedelijk";"840"
"Staphorst";"5";"Nietstedelijk";"359"
"Stede Broec";"3";"Matigstedelijk";"1151"
"Steenbergen";"4";"Weinigstedelijk";"739"
"Steenwijkerland";"4";"Weinigstedelijk";"594"
"Stein (L.)";"4";"Weinigstedelijk";"905"
"Stichtse Vecht";"3";"Matigstedelijk";"1197"
"Súdwest-Fryslân";"4";"Weinigstedelijk";"852"
"Terneuzen";"4";"Weinigstedelijk";"876"
"Terschelling";"5";"Nietstedelijk";"250"
"Texel";"5";"Nietstedelijk";"492"
"Teylingen";"3";"Matigstedelijk";"1410"
"Tholen";"5";"Nietstedelijk";"494"
"Tiel";"3";"Matigstedelijk";"1456"
"Tilburg";"1";"Zeersterkstedelijk";"2835"
"Tubbergen";"5";"Nietstedelijk";"295"
"Twenterand";"4";"Weinigstedelijk";"601"
"Tynaarlo";"4";"Weinigstedelijk";"512"
"Tytsjerksteradiel";"5";"Nietstedelijk";"478"
"Uitgeest";"3";"Matigstedelijk";"1105"
"Uithoorn";"3";"Matigstedelijk";"1453"
"Urk";"3";"Matigstedelijk";"1081"
"Utrecht (gemeente)";"1";"Zeersterkstedelijk";"3532"
"Utrechtse Heuvelrug";"4";"Weinigstedelijk";"791"
"Vaals";"3";"Matigstedelijk";"1065"
"Valkenburg aan de Geul";"4";"Weinigstedelijk";"676"
"Valkenswaard";"3";"Matigstedelijk";"1489"
"Veendam";"3";"Matigstedelijk";"1010"
"Veenendaal";"2";"Sterkstedelijk";"2222"
"Veere";"5";"Nietstedelijk";"347"
"Veldhoven";"2";"Sterkstedelijk";"1679"
"Velsen";"2";"Sterkstedelijk";"1866"
"Venlo";"2";"Sterkstedelijk";"1663"
"Venray";"3";"Matigstedelijk";"1031"
"Vijfheerenlanden";"4";"Weinigstedelijk";"913"
"Vlaardingen";"1";"Zeersterkstedelijk";"2821"
"Vlieland";"5";"Nietstedelijk";"212"
"Vlissingen";"2";"Sterkstedelijk";"1958"
"Voerendaal";"4";"Weinigstedelijk";"548"
"Voorschoten";"2";"Sterkstedelijk";"1859"
"Voorst";"4";"Weinigstedelijk";"581"
"Vught";"3";"Matigstedelijk";"1176"
"Waadhoeke";"5";"Nietstedelijk";"469"
"Waalre";"4";"Weinigstedelijk";"881"
"Waalwijk";"3";"Matigstedelijk";"1334"
"Waddinxveen";"2";"Sterkstedelijk";"1576"
"Wageningen";"2";"Sterkstedelijk";"2111"
"Wassenaar";"3";"Matigstedelijk";"1443"
"Waterland";"4";"Weinigstedelijk";"642"
"Weert";"3";"Matigstedelijk";"1351"
"Weesp";"2";"Sterkstedelijk";"1799"
"West Betuwe";"5";"Nietstedelijk";"463"
"West Maas en Waal";"5";"Nietstedelijk";"431"
"Westerkwartier";"5";"Nietstedelijk";"483"
"Westerveld";"5";"Nietstedelijk";"214"
"Westervoort";"3";"Matigstedelijk";"1159"
"Westerwolde";"5";"Nietstedelijk";"287"
"Westland";"3";"Matigstedelijk";"1455"
"Weststellingwerf";"4";"Weinigstedelijk";"683"
"Westvoorne";"4";"Weinigstedelijk";"623"
"Wierden";"4";"Weinigstedelijk";"713"
"Wijchen";"3";"Matigstedelijk";"1236"
"Wijdemeren";"4";"Weinigstedelijk";"600"
"Wijk bij Duurstede";"3";"Matigstedelijk";"1148"
"Winterswijk";"3";"Matigstedelijk";"1216"
"Woensdrecht";"4";"Weinigstedelijk";"666"
"Woerden";"3";"Matigstedelijk";"1391"
"De Wolden";"5";"Nietstedelijk";"313"
"Wormerland";"3";"Matigstedelijk";"1453"
"Woudenberg";"4";"Weinigstedelijk";"986"
"Zaanstad";"2";"Sterkstedelijk";"2088"
"Zaltbommel";"4";"Weinigstedelijk";"706"
"Zandvoort";"2";"Sterkstedelijk";"1822"
"Zeewolde";"4";"Weinigstedelijk";"839"
"Zeist";"2";"Sterkstedelijk";"1613"
"Zevenaar";"3";"Matigstedelijk";"1043"
"Zoetermeer";"1";"Zeersterkstedelijk";"2523"
"Zoeterwoude";"4";"Weinigstedelijk";"837"
"Zuidplas";"3";"Matigstedelijk";"1199"
"Zundert";"4";"Weinigstedelijk";"577"
"Zutphen";"2";"Sterkstedelijk";"1663"
"Zwartewaterland";"4";"Weinigstedelijk";"726"
"Zwijndrecht";"2";"Sterkstedelijk";"2089"
"Zwolle";"2";"Sterkstedelijk";"2094"
"Bron: CBS"
