"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Verplaatsing op donderdag";"Uitgaan, sport, hobby";"10,88";"9,80";"9,26";"9,24";"10,26";"8,94";"12,50";"10,05";"25,80";"27,97";"25,04";"33,02";"26,17";"29,43";"24,78";"24,75"
"Verplaatsing op donderdag";"Toeren, wandelen";"8,05";"6,86";"8,66";"7,50";"6,46";"8,02";"10,89";"6,58";"62,76";"55,11";"69,02";"63,64";"56,30";"67,15";"57,09";"52,58"
"Verplaatsing op vrijdag";"Totaal";"12,46";"10,89";"11,49";"10,19";"11,47";"9,36";"14,92";"12,44";"26,05";"24,70";"28,77";"25,62";"29,29";"27,29";"25,62";"24,12"
"Verplaatsing op vrijdag";"Van en naar het werk";"17,95";"16,91";"16,44";"14,38";"15,04";"13,71";"20,01";"15,79";"29,37";"27,14";"33,76";"26,77";"32,35";"28,73";"27,94";"23,21"
"Verplaatsing op vrijdag";"Zakelijk, beroepsmatig";"26,84";"24,87";"17,01";"31,38";"25,47";"20,19";".";".";"32,63";"30,96";"26,94";"33,80";"34,29";"28,76";".";"."
"Verplaatsing op vrijdag";"Winkelen, boodschappen doen";"5,63";"5,01";"4,52";"4,12";"4,96";"3,88";"6,72";"5,70";"15,05";"14,16";"16,36";"13,87";"16,83";"14,83";"14,71";"12,36"
"Verplaatsing op vrijdag";"Onderwijs volgen, cursus, kinderopvang";"8,64";"7,74";"6,88";"8,25";"6,49";"6,37";"16,97";"9,74";"22,89";"22,32";"20,73";"23,85";"21,04";"23,85";"36,27";"24,65"
"Verplaatsing op vrijdag";"Visite, logeren";"19,40";"16,32";"22,58";"14,36";"21,52";"18,33";"13,26";"21,90";"29,26";"26,42";"39,94";"26,94";"37,62";"33,87";"19,31";"29,74"
"Verplaatsing op vrijdag";"Uitgaan, sport, hobby";"13,84";"13,97";"12,20";"13,26";"11,81";"11,02";"21,90";"16,78";"30,63";"29,73";"32,33";"31,08";"33,08";"31,67";"33,10";"27,92"
"Verplaatsing op vrijdag";"Toeren, wandelen";"7,43";"6,27";"8,38";"6,25";"7,66";"5,66";"6,60";"7,47";"61,41";"54,02";"66,96";"60,52";"75,11";"63,15";"49,91";"53,08"
"Verplaatsing op zaterdag";"Totaal";"13,12";"12,38";"12,67";"11,66";"12,07";"11,77";"15,44";"14,55";"27,88";"27,87";"29,60";"29,74";"30,63";"31,17";"27,96";"28,17"
"Verplaatsing op zaterdag";"Van en naar het werk";"13,68";"12,82";"15,80";"13,08";"10,96";"11,44";".";"9,63";"23,75";"23,66";"31,11";"27,34";"25,68";"25,63";"27,38";"19,86"
"Verplaatsing op zaterdag";"Zakelijk, beroepsmatig";"17,37";"18,76";".";".";".";".";".";".";"29,24";"29,53";".";".";".";".";".";"."
"Verplaatsing op zaterdag";"Winkelen, boodschappen doen";"6,93";"5,98";"6,79";"5,65";"4,96";"4,95";"9,07";"7,67";"16,56";"15,44";"17,42";"16,92";"16,19";"16,40";"16,43";"14,93"
"Verplaatsing op zaterdag";"Onderwijs volgen, cursus, kinderopvang";"18,00";"17,33";".";".";".";".";".";".";"28,18";"34,57";".";".";".";"31,39";".";"."
"Verplaatsing op zaterdag";"Visite, logeren";"23,90";"22,45";"22,50";"19,37";"27,98";"25,13";"25,96";"25,97";"31,61";"31,18";"35,73";"31,36";"40,43";"38,54";"35,44";"35,41"
"Verplaatsing op zaterdag";"Uitgaan, sport, hobby";"15,19";"15,65";"13,29";"13,88";"12,71";"13,84";"16,40";"17,94";"31,19";"32,58";"31,26";"33,45";"34,92";"36,57";"31,98";"28,66"
"Verplaatsing op zaterdag";"Toeren, wandelen";"11,15";"8,90";"12,27";"8,24";"9,87";"8,98";"10,54";"9,09";"77,05";"65,42";"81,31";"71,10";"88,22";"76,84";"71,15";"69,46"
"Bron: CBS"
